reference_id,amount_kobo,transaction_date,customer_name
TXN100000,943912,2026-09-12 22:26:14.714031,Comfort Uche
TXN100001,2317113,2026-09-16 16:57:23.549955,Grace Abiola
TXN100003,4584866,2026-09-06 16:23:18.834097,Michael Ibrahim
TXN100004,3549336,2026-09-04 02:42:50.417937,Joy Oshodi
TXN100005,795972,2026-08-31 19:44:55.325067,Daniel Adetokunbo
TXN100006,4249227,2026-09-22 10:20:42.278644,Ruth Oyekan
TXN100007,4718064,2026-09-11 09:34:54.226324,Mark Akinwale
TXN100008,4581300,2026-09-20 10:26:04.799183,Benjamin Abiola
TXN100009,3778238,2026-09-24 19:20:55.042009,Charity Ibrahim
TXN100011,1349319,2026-09-23 04:02:00.931026,Comfort Chukwu
TXN100012,2864228,2026-09-10 05:39:21.024177,Samuel Oyekan
TXN100013,1816026,2026-09-21 19:18:37.588858,Comfort Abiola
TXN100014,867401,2026-09-20 19:56:02.118871,Nathaniel Eze
TXN100015,821315,2026-08-28 07:23:27.880275,Victoria Balogun
TXN100016,2895309,2026-09-14 03:38:44.491631,Grace Oyekan
TXN100018,4508207,2026-09-12 07:29:27.337238,Juliet Ojo
TXN100019,3185376,2026-09-25 04:23:54.685445,Elizabeth Obasanjo
TXN200020,3043614,2026-08-29 03:39:26.418072,Peter Abiola
TXN100021,4853180,2026-09-06 02:12:55.307353,Samuel Adeyemi
TXN100022,593470,2026-08-31 16:45:25.119249,Angela Abiola
TXN200024,857261,2026-09-25 04:38:35.705108,Ruth Ekwueme
TXN100025,3198729,2026-09-05 09:13:59.971570,Gabriel Oshodi
TXN100026,3070434,2026-09-12 06:34:59.610339,Benjamin Chukwu
TXN100027,2990226,2026-09-25 11:32:25.963895,Stephen Balogun
TXN100029,608967,2026-09-09 15:35:25.864224,Faith Ekwueme
TXN100030,1445615,2026-09-19 23:18:13.821606,Daniel Eze
TXN100031,2063622,2026-09-21 16:01:18.334476,Philip Uche
TXN100032,3193102,2026-09-21 06:10:53.516973,Gabriel Adetokunbo
TXN100033,4682033,2026-09-15 22:21:54.586637,Daniel Chukwu
TXN200034,479241,2026-09-01 00:18:50.060646,Charity Obasanjo
TXN200035,2656211,2026-09-11 13:35:35.423956,Andrew Abiola
TXN100036,3375214,2026-08-27 21:10:26.160938,Peter Oyekan
TXN100037,1779932,2026-08-30 00:30:09.967216,Victoria Adetokunbo
TXN100038,2649709,2026-09-06 04:38:30.054221,Juliet Olawale
TXN100039,4197855,2026-09-18 14:04:34.570479,Philip Chukwu
TXN100040,3859128,2026-09-11 09:37:27.649397,Elizabeth Ekwueme
TXN100041,1181304,2026-09-12 14:51:29.337140,Philip Olawale
TXN100042,4719097,2026-09-21 05:06:49.402881,Philip Okafor
TXN100043,4913862,2026-09-09 19:14:57.565702,Emmanuel Ibrahim
TXN100044,4905028,2026-09-21 12:43:20.493679,Cornelius Ibrahim
TXN100045,1849795,2026-09-15 02:11:15.564696,Emmanuel Nnamani
TXN100045,1849795,2026-09-15 02:11:15.564696,Emmanuel Nnamani
